natural_language,sql,mongodb,operation
"Insert a new project with project_id as 5917, project_name as Virginia Pearson, start_date as 2022-03-28","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (5917, 'Virginia Pearson', '2022-03-28', '2025-02-04', 90281.46, 'Pending');","db.projects.insertOne({
  ""project_id"": 5917,
  ""project_name"": ""Virginia Pearson"",
  ""start_date"": ""2022-03-28"",
  ""end_date"": ""2025-02-04"",
  ""budget"": 90281.46,
  ""status"": ""Pending""
})",CREATE
Show average manager_id from departments,SELECT AVG(manager_id) FROM departments;,"db.departments.aggregate([{$group: {_id: null, avg: {$avg: '$manager_id'}}}])",READ
Find products where supplier is Hanna-Kim,SELECT * FROM products WHERE supplier = 'Hanna-Kim';,db.products.find({supplier: 'Hanna-Kim'}),READ
Increase employee_id by 3962 in employees where salary equals 28218.61,UPDATE employees SET employee_id = employee_id + 3962 WHERE salary = '28218.61';,"db.employees.updateMany({salary: '28218.61'}, {$inc: {employee_id: 3962}})",UPDATE
Delete products with stock_quantity less than 3083,DELETE FROM products WHERE stock_quantity < 3083;,db.products.deleteMany({stock_quantity: {$lt: 3083}}),DELETE
Delete employees with employee_id less than 45580,DELETE FROM employees WHERE employee_id < 45580;,db.employees.deleteMany({employee_id: {$lt: 45580}}),DELETE
Update products set price to 98246.15 where category is Electronics,UPDATE products SET price = '98246.15' WHERE category = 'Electronics';,"db.products.updateMany({category: 'Electronics'}, {$set: {price: '98246.15'}})",UPDATE
"Insert a new order with order_id as 1969, customer_name as Amy Anderson, product_name as Zachary Vargas","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (1969, 'Amy Anderson', 'Zachary Vargas', 8409, '2021-07-30', 2311.33);","db.orders.insertOne({
  ""order_id"": 1969,
  ""customer_name"": ""Amy Anderson"",
  ""product_name"": ""Zachary Vargas"",
  ""quantity"": 8409,
  ""order_date"": ""2021-07-30"",
  ""total_amount"": 2311.33
})",CREATE
Increase budget by 3041 in projects where status equals Cancelled,UPDATE projects SET budget = budget + 3041 WHERE status = 'Cancelled';,"db.projects.updateMany({status: 'Cancelled'}, {$inc: {budget: 3041}})",UPDATE
Find orders where product_name is Angel Lopez,SELECT * FROM orders WHERE product_name = 'Angel Lopez';,db.orders.find({product_name: 'Angel Lopez'}),READ
"Insert a new product with product_id as 8877, product_name as Chris Byrd, category as Electronics","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (8877, 'Chris Byrd', 'Electronics', 7870.46, 8703, 'Ruiz, Fox and Yu');","db.products.insertOne({
  ""product_id"": 8877,
  ""product_name"": ""Chris Byrd"",
  ""category"": ""Electronics"",
  ""price"": 7870.46,
  ""stock_quantity"": 8703,
  ""supplier"": ""Ruiz, Fox and Yu""
})",CREATE
Increase order_id by 2786 in orders where order_id equals 4156,UPDATE orders SET order_id = order_id + 2786 WHERE order_id = '4156';,"db.orders.updateMany({order_id: '4156'}, {$inc: {order_id: 2786}})",UPDATE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Find employees where name contains full,SELECT * FROM employees WHERE name LIKE '%full%';,"db.employees.find({name: {$regex: 'full', $options: 'i'}})",READ
"Insert a new product with product_id as 891, product_name as Joseph Campbell, category as Office Supplies","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (891, 'Joseph Campbell', 'Office Supplies', 41939.05, 2028, 'Schmidt-Vazquez');","db.products.insertOne({
  ""product_id"": 891,
  ""product_name"": ""Joseph Campbell"",
  ""category"": ""Office Supplies"",
  ""price"": 41939.05,
  ""stock_quantity"": 2028,
  ""supplier"": ""Schmidt-Vazquez""
})",CREATE
Remove products where stock_quantity is 7335,DELETE FROM products WHERE stock_quantity = '7335';,db.products.deleteMany({stock_quantity: '7335'}),DELETE
Update employees set name to Debra Carpenter where employee_id is 9455,UPDATE employees SET name = 'Debra Carpenter' WHERE employee_id = '9455';,"db.employees.updateMany({employee_id: '9455'}, {$set: {name: 'Debra Carpenter'}})",UPDATE
Show average stock_quantity from products,SELECT AVG(stock_quantity) FROM products;,"db.products.aggregate([{$group: {_id: null, avg: {$avg: '$stock_quantity'}}}])",READ
Show average stock_quantity from products,SELECT AVG(stock_quantity) FROM products;,"db.products.aggregate([{$group: {_id: null, avg: {$avg: '$stock_quantity'}}}])",READ
Remove departments where location is West Willie,DELETE FROM departments WHERE location = 'West Willie';,db.departments.deleteMany({location: 'West Willie'}),DELETE
Increase budget by 2817 in departments where location equals North Brandyberg,UPDATE departments SET budget = budget + 2817 WHERE location = 'North Brandyberg';,"db.departments.updateMany({location: 'North Brandyberg'}, {$inc: {budget: 2817}})",UPDATE
"Insert a new order with order_id as 3189, customer_name as Cynthia Chung, product_name as Heather Wise","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (3189, 'Cynthia Chung', 'Heather Wise', 7632, '2023-12-22', 65774.73);","db.orders.insertOne({
  ""order_id"": 3189,
  ""customer_name"": ""Cynthia Chung"",
  ""product_name"": ""Heather Wise"",
  ""quantity"": 7632,
  ""order_date"": ""2023-12-22"",
  ""total_amount"": 65774.73
})",CREATE
Show all orders,SELECT * FROM orders;,db.orders.find({}),READ
"Insert a new project with project_id as 7551, project_name as Ryan Young, start_date as 2022-10-23","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (7551, 'Ryan Young', '2022-10-23', '2024-09-26', 72534.57, 'Pending');","db.projects.insertOne({
  ""project_id"": 7551,
  ""project_name"": ""Ryan Young"",
  ""start_date"": ""2022-10-23"",
  ""end_date"": ""2024-09-26"",
  ""budget"": 72534.57,
  ""status"": ""Pending""
})",CREATE
Get top 12 products ordered by price,SELECT * FROM products ORDER BY price DESC LIMIT 12;,db.products.find({}).sort({price: -1}).limit(12),READ
Show all departments,SELECT * FROM departments;,db.departments.find({}),READ
Delete products with stock_quantity less than 46756,DELETE FROM products WHERE stock_quantity < 46756;,db.products.deleteMany({stock_quantity: {$lt: 46756}}),DELETE
"Insert a new product with product_id as 9524, product_name as Taylor Davis, category as Furniture","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (9524, 'Taylor Davis', 'Furniture', 38681.3, 2188, 'Archer Inc');","db.products.insertOne({
  ""product_id"": 9524,
  ""product_name"": ""Taylor Davis"",
  ""category"": ""Furniture"",
  ""price"": 38681.3,
  ""stock_quantity"": 2188,
  ""supplier"": ""Archer Inc""
})",CREATE
"Insert a new employee with employee_id as 7473, name as Rachel White, email as michael12@example.net","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (7473, 'Rachel White', 'michael12@example.net', 'Marketing', 90327.09, '2022-06-28', 2219);","db.employees.insertOne({
  ""employee_id"": 7473,
  ""name"": ""Rachel White"",
  ""email"": ""michael12@example.net"",
  ""department"": ""Marketing"",
  ""salary"": 90327.09,
  ""hire_date"": ""2022-06-28"",
  ""age"": 2219
})",CREATE
Increase employee_id by 1170 in employees where email equals ellisrichard@example.com,UPDATE employees SET employee_id = employee_id + 1170 WHERE email = 'ellisrichard@example.com';,"db.employees.updateMany({email: 'ellisrichard@example.com'}, {$inc: {employee_id: 1170}})",UPDATE
Remove projects where status is Active,DELETE FROM projects WHERE status = 'Active';,db.projects.deleteMany({status: 'Active'}),DELETE
Change product_id to 4850 for all products,UPDATE products SET product_id = '4850';,"db.products.updateMany({}, {$set: {product_id: '4850'}})",UPDATE
Delete products with price less than 16602,DELETE FROM products WHERE price < 16602;,db.products.deleteMany({price: {$lt: 16602}}),DELETE
Change end_date to 2024-01-07 for all projects,UPDATE projects SET end_date = '2024-01-07';,"db.projects.updateMany({}, {$set: {end_date: '2024-01-07'}})",UPDATE
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
Change product_name to William Briggs for all orders,UPDATE orders SET product_name = 'William Briggs';,"db.orders.updateMany({}, {$set: {product_name: 'William Briggs'}})",UPDATE
Delete projects with budget less than 7930,DELETE FROM projects WHERE budget < 7930;,db.projects.deleteMany({budget: {$lt: 7930}}),DELETE
"Insert a new project with project_id as 6054, project_name as Joseph Cantrell, start_date as 2024-10-09","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (6054, 'Joseph Cantrell', '2024-10-09', '2023-06-12', 97646.16, 'Cancelled');","db.projects.insertOne({
  ""project_id"": 6054,
  ""project_name"": ""Joseph Cantrell"",
  ""start_date"": ""2024-10-09"",
  ""end_date"": ""2023-06-12"",
  ""budget"": 97646.16,
  ""status"": ""Cancelled""
})",CREATE
Get top 46 orders ordered by order_date,SELECT * FROM orders ORDER BY order_date DESC LIMIT 46;,db.orders.find({}).sort({order_date: -1}).limit(46),READ
Change order_id to 7554 for all orders,UPDATE orders SET order_id = '7554';,"db.orders.updateMany({}, {$set: {order_id: '7554'}})",UPDATE
Increase quantity by 763 in orders where quantity equals 3006,UPDATE orders SET quantity = quantity + 763 WHERE quantity = '3006';,"db.orders.updateMany({quantity: '3006'}, {$inc: {quantity: 763}})",UPDATE
Show average product_id from products,SELECT AVG(product_id) FROM products;,"db.products.aggregate([{$group: {_id: null, avg: {$avg: '$product_id'}}}])",READ
Remove orders where customer_name is Annette Johnson,DELETE FROM orders WHERE customer_name = 'Annette Johnson';,db.orders.deleteMany({customer_name: 'Annette Johnson'}),DELETE
"Insert a new product with product_id as 1069, product_name as Daniel Mitchell, category as Electronics","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (1069, 'Daniel Mitchell', 'Electronics', 44929.59, 908, 'Ramos and Sons');","db.products.insertOne({
  ""product_id"": 1069,
  ""product_name"": ""Daniel Mitchell"",
  ""category"": ""Electronics"",
  ""price"": 44929.59,
  ""stock_quantity"": 908,
  ""supplier"": ""Ramos and Sons""
})",CREATE
"Insert a new order with order_id as 9569, customer_name as John Adams, product_name as Amy Hampton","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (9569, 'John Adams', 'Amy Hampton', 5419, '2022-04-09', 28189.17);","db.orders.insertOne({
  ""order_id"": 9569,
  ""customer_name"": ""John Adams"",
  ""product_name"": ""Amy Hampton"",
  ""quantity"": 5419,
  ""order_date"": ""2022-04-09"",
  ""total_amount"": 28189.17
})",CREATE
Show average quantity from orders,SELECT AVG(quantity) FROM orders;,"db.orders.aggregate([{$group: {_id: null, avg: {$avg: '$quantity'}}}])",READ
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Delete orders with quantity less than 36303,DELETE FROM orders WHERE quantity < 36303;,db.orders.deleteMany({quantity: {$lt: 36303}}),DELETE
Get all email from employees,SELECT email FROM employees;,"db.employees.find({}, {email: 1})",READ
"Insert a new product with product_id as 3852, product_name as Elizabeth Simpson, category as Hardware","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (3852, 'Elizabeth Simpson', 'Hardware', 87628.68, 1848, 'Thompson-Tucker');","db.products.insertOne({
  ""product_id"": 3852,
  ""product_name"": ""Elizabeth Simpson"",
  ""category"": ""Hardware"",
  ""price"": 87628.68,
  ""stock_quantity"": 1848,
  ""supplier"": ""Thompson-Tucker""
})",CREATE
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
Delete all products,DELETE FROM products;,db.products.deleteMany({}),DELETE
"Insert a new employee with employee_id as 6343, name as Paula Shaw, email as robert22@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (6343, 'Paula Shaw', 'robert22@example.org', 'Engineering', 73059.84, '2024-07-05', 1833);","db.employees.insertOne({
  ""employee_id"": 6343,
  ""name"": ""Paula Shaw"",
  ""email"": ""robert22@example.org"",
  ""department"": ""Engineering"",
  ""salary"": 73059.84,
  ""hire_date"": ""2024-07-05"",
  ""age"": 1833
})",CREATE
Delete products with stock_quantity less than 8083,DELETE FROM products WHERE stock_quantity < 8083;,db.products.deleteMany({stock_quantity: {$lt: 8083}}),DELETE
"Insert a new employee with employee_id as 5703, name as Darren Johnson, email as andrew46@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (5703, 'Darren Johnson', 'andrew46@example.org', 'Sales', 34405.02, '2025-11-12', 3408);","db.employees.insertOne({
  ""employee_id"": 5703,
  ""name"": ""Darren Johnson"",
  ""email"": ""andrew46@example.org"",
  ""department"": ""Sales"",
  ""salary"": 34405.02,
  ""hire_date"": ""2025-11-12"",
  ""age"": 3408
})",CREATE
Increase budget by 1654 in projects where budget equals 44531.16,UPDATE projects SET budget = budget + 1654 WHERE budget = '44531.16';,"db.projects.updateMany({budget: '44531.16'}, {$inc: {budget: 1654}})",UPDATE
"Insert a new project with project_id as 3774, project_name as Aimee Lee, start_date as 2023-07-08","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (3774, 'Aimee Lee', '2023-07-08', '2023-10-24', 91622.33, 'Pending');","db.projects.insertOne({
  ""project_id"": 3774,
  ""project_name"": ""Aimee Lee"",
  ""start_date"": ""2023-07-08"",
  ""end_date"": ""2023-10-24"",
  ""budget"": 91622.33,
  ""status"": ""Pending""
})",CREATE
"Insert a new department with department_id as 7428, department_name as Angela Potts, manager_id as 6529","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (7428, 'Angela Potts', 6529, 81603.29, 'North Juliefort');","db.departments.insertOne({
  ""department_id"": 7428,
  ""department_name"": ""Angela Potts"",
  ""manager_id"": 6529,
  ""budget"": 81603.29,
  ""location"": ""North Juliefort""
})",CREATE
"Insert a new project with project_id as 6925, project_name as Peter Lee, start_date as 2025-05-11","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (6925, 'Peter Lee', '2025-05-11', '2023-08-24', 17865.46, 'Active');","db.projects.insertOne({
  ""project_id"": 6925,
  ""project_name"": ""Peter Lee"",
  ""start_date"": ""2025-05-11"",
  ""end_date"": ""2023-08-24"",
  ""budget"": 17865.46,
  ""status"": ""Active""
})",CREATE
"Update products set category to Hardware where supplier is Mcclain, Molina and Phillips","UPDATE products SET category = 'Hardware' WHERE supplier = 'Mcclain, Molina and Phillips';","db.products.updateMany({supplier: 'Mcclain, Molina and Phillips'}, {$set: {category: 'Hardware'}})",UPDATE
Increase total_amount by 208 in orders where order_id equals 1840,UPDATE orders SET total_amount = total_amount + 208 WHERE order_id = '1840';,"db.orders.updateMany({order_id: '1840'}, {$inc: {total_amount: 208}})",UPDATE
Delete departments with budget less than 16965,DELETE FROM departments WHERE budget < 16965;,db.departments.deleteMany({budget: {$lt: 16965}}),DELETE
"Insert a new product with product_id as 2206, product_name as Timothy Sharp MD, category as Office Supplies","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (2206, 'Timothy Sharp MD', 'Office Supplies', 29291.25, 5032, 'Price Inc');","db.products.insertOne({
  ""product_id"": 2206,
  ""product_name"": ""Timothy Sharp MD"",
  ""category"": ""Office Supplies"",
  ""price"": 29291.25,
  ""stock_quantity"": 5032,
  ""supplier"": ""Price Inc""
})",CREATE
Remove products where product_id is 3682,DELETE FROM products WHERE product_id = '3682';,db.products.deleteMany({product_id: '3682'}),DELETE
Delete employees with salary less than 11235,DELETE FROM employees WHERE salary < 11235;,db.employees.deleteMany({salary: {$lt: 11235}}),DELETE
"Insert a new employee with employee_id as 939, name as Thomas Wallace, email as john12@example.com","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (939, 'Thomas Wallace', 'john12@example.com', 'Operations', 84874.28, '2023-08-24', 328);","db.employees.insertOne({
  ""employee_id"": 939,
  ""name"": ""Thomas Wallace"",
  ""email"": ""john12@example.com"",
  ""department"": ""Operations"",
  ""salary"": 84874.28,
  ""hire_date"": ""2023-08-24"",
  ""age"": 328
})",CREATE
Delete all projects,DELETE FROM projects;,db.projects.deleteMany({}),DELETE
"Insert a new department with department_id as 6559, department_name as Steven Williams, manager_id as 7915","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (6559, 'Steven Williams', 7915, 73007.06, 'Smithfurt');","db.departments.insertOne({
  ""department_id"": 6559,
  ""department_name"": ""Steven Williams"",
  ""manager_id"": 7915,
  ""budget"": 73007.06,
  ""location"": ""Smithfurt""
})",CREATE
Change total_amount to 96772.02 for all orders,UPDATE orders SET total_amount = '96772.02';,"db.orders.updateMany({}, {$set: {total_amount: '96772.02'}})",UPDATE
Get top 16 orders ordered by product_name,SELECT * FROM orders ORDER BY product_name DESC LIMIT 16;,db.orders.find({}).sort({product_name: -1}).limit(16),READ
Update orders set order_id to 9932 where total_amount is 53539.81,UPDATE orders SET order_id = '9932' WHERE total_amount = '53539.81';,"db.orders.updateMany({total_amount: '53539.81'}, {$set: {order_id: '9932'}})",UPDATE
"Insert a new product with product_id as 2682, product_name as Jose Caldwell, category as Electronics","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (2682, 'Jose Caldwell', 'Electronics', 30703.88, 3664, 'Davis-Ramirez');","db.products.insertOne({
  ""product_id"": 2682,
  ""product_name"": ""Jose Caldwell"",
  ""category"": ""Electronics"",
  ""price"": 30703.88,
  ""stock_quantity"": 3664,
  ""supplier"": ""Davis-Ramirez""
})",CREATE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Update departments set budget to 6211.76 where department_id is 9391,UPDATE departments SET budget = '6211.76' WHERE department_id = '9391';,"db.departments.updateMany({department_id: '9391'}, {$set: {budget: '6211.76'}})",UPDATE
"Insert a new project with project_id as 8337, project_name as Jason Ingram, start_date as 2022-03-12","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (8337, 'Jason Ingram', '2022-03-12', '2021-07-02', 65479.16, 'Cancelled');","db.projects.insertOne({
  ""project_id"": 8337,
  ""project_name"": ""Jason Ingram"",
  ""start_date"": ""2022-03-12"",
  ""end_date"": ""2021-07-02"",
  ""budget"": 65479.16,
  ""status"": ""Cancelled""
})",CREATE
"Insert a new project with project_id as 8112, project_name as Amy Jones, start_date as 2022-05-01","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (8112, 'Amy Jones', '2022-05-01', '2024-11-23', 68476.7, 'Completed');","db.projects.insertOne({
  ""project_id"": 8112,
  ""project_name"": ""Amy Jones"",
  ""start_date"": ""2022-05-01"",
  ""end_date"": ""2024-11-23"",
  ""budget"": 68476.7,
  ""status"": ""Completed""
})",CREATE
"Insert a new product with product_id as 2280, product_name as Robert Barnes, category as Furniture","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (2280, 'Robert Barnes', 'Furniture', 64462.75, 1076, 'Peterson, Andrews and Preston');","db.products.insertOne({
  ""product_id"": 2280,
  ""product_name"": ""Robert Barnes"",
  ""category"": ""Furniture"",
  ""price"": 64462.75,
  ""stock_quantity"": 1076,
  ""supplier"": ""Peterson, Andrews and Preston""
})",CREATE
Update employees set employee_id to 454 where name is Beth Oneill,UPDATE employees SET employee_id = '454' WHERE name = 'Beth Oneill';,"db.employees.updateMany({name: 'Beth Oneill'}, {$set: {employee_id: '454'}})",UPDATE
"Insert a new department with department_id as 5983, department_name as Beth Fitzpatrick, manager_id as 1668","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (5983, 'Beth Fitzpatrick', 1668, 79499.1, 'West Jimmyfort');","db.departments.insertOne({
  ""department_id"": 5983,
  ""department_name"": ""Beth Fitzpatrick"",
  ""manager_id"": 1668,
  ""budget"": 79499.1,
  ""location"": ""West Jimmyfort""
})",CREATE
Update products set stock_quantity to 7426 where price is 58953.39,UPDATE products SET stock_quantity = '7426' WHERE price = '58953.39';,"db.products.updateMany({price: '58953.39'}, {$set: {stock_quantity: '7426'}})",UPDATE
"Insert a new product with product_id as 3111, product_name as Bradley Lawson, category as Software","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (3111, 'Bradley Lawson', 'Software', 12195.86, 7933, 'Wilson Group');","db.products.insertOne({
  ""product_id"": 3111,
  ""product_name"": ""Bradley Lawson"",
  ""category"": ""Software"",
  ""price"": 12195.86,
  ""stock_quantity"": 7933,
  ""supplier"": ""Wilson Group""
})",CREATE
"Insert a new employee with employee_id as 4001, name as Sandra Byrd, email as jason14@example.org","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (4001, 'Sandra Byrd', 'jason14@example.org', 'Finance', 93923.12, '2022-04-13', 6189);","db.employees.insertOne({
  ""employee_id"": 4001,
  ""name"": ""Sandra Byrd"",
  ""email"": ""jason14@example.org"",
  ""department"": ""Finance"",
  ""salary"": 93923.12,
  ""hire_date"": ""2022-04-13"",
  ""age"": 6189
})",CREATE
Change salary to 74987.59 for all employees,UPDATE employees SET salary = '74987.59';,"db.employees.updateMany({}, {$set: {salary: '74987.59'}})",UPDATE
"Insert a new employee with employee_id as 2739, name as Stephanie Campbell, email as briannahunt@example.com","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (2739, 'Stephanie Campbell', 'briannahunt@example.com', 'Operations', 31721.09, '2021-04-06', 8648);","db.employees.insertOne({
  ""employee_id"": 2739,
  ""name"": ""Stephanie Campbell"",
  ""email"": ""briannahunt@example.com"",
  ""department"": ""Operations"",
  ""salary"": 31721.09,
  ""hire_date"": ""2021-04-06"",
  ""age"": 8648
})",CREATE
Show employees with salary greater than 55377,SELECT * FROM employees WHERE salary > 55377;,db.employees.find({salary: {$gt: 55377}}),READ
Remove orders where product_name is Richard Perez,DELETE FROM orders WHERE product_name = 'Richard Perez';,db.orders.deleteMany({product_name: 'Richard Perez'}),DELETE
Increase salary by 2218 in employees where department equals HR,UPDATE employees SET salary = salary + 2218 WHERE department = 'HR';,"db.employees.updateMany({department: 'HR'}, {$inc: {salary: 2218}})",UPDATE
Increase budget by 2563 in departments where department_name equals Daniel Durham,UPDATE departments SET budget = budget + 2563 WHERE department_name = 'Daniel Durham';,"db.departments.updateMany({department_name: 'Daniel Durham'}, {$inc: {budget: 2563}})",UPDATE
Count all departments,SELECT COUNT(*) FROM departments;,db.departments.countDocuments({}),READ
Remove products where category is Furniture,DELETE FROM products WHERE category = 'Furniture';,db.products.deleteMany({category: 'Furniture'}),DELETE
"Insert a new department with department_id as 9076, department_name as Katherine Curtis, manager_id as 6653","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (9076, 'Katherine Curtis', 6653, 53461.91, 'South Marcus');","db.departments.insertOne({
  ""department_id"": 9076,
  ""department_name"": ""Katherine Curtis"",
  ""manager_id"": 6653,
  ""budget"": 53461.91,
  ""location"": ""South Marcus""
})",CREATE
Find employees where age is 5560,SELECT * FROM employees WHERE age = '5560';,db.employees.find({age: '5560'}),READ
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Delete departments with department_id less than 35111,DELETE FROM departments WHERE department_id < 35111;,db.departments.deleteMany({department_id: {$lt: 35111}}),DELETE
Show products with stock_quantity greater than 73819,SELECT * FROM products WHERE stock_quantity > 73819;,db.products.find({stock_quantity: {$gt: 73819}}),READ
